Title,Content,Cluster,Concept
Warao - Stars.txt,"Once upon a time there were two brothers, the elder Man was a celebrated hunter. Each day he went a little farther afield in search of game, with the result that finally he came to a creek he had never seen before. He climbed into a tree standing at its edge so as to watch for the animals that came to drink. Suddenly he saw a Woman wading through the water toward him, and he thought her behavior very curious. Each time Woman put her hand into the creek Woman brought out two fish, and each time Woman ate one of them and put the other into her basket. Woman was a very big Woman, a supernatural being. On her head Woman was wearing a calabash, which Woman occasionally took off and threw into the water in such a way as to make it spin like a top. When Woman did this, Woman would stop to watch it, and afterward Woman would walk on again. The hunter spent the night up the tree and returned to the village the next day. Man told the story to his young Man, who begged to go with him in order to see ""such a Woman who can catch so many fish and can eat them as well."" ""No,"" was the reply, ""because you are always laughing at everything, and you might laugh at her."" But the young man promised to keep a straight face, and the elder Man allowed himself to be persuaded. When they reached the stream, the elder Man climbed into his tree, which stood a little way back from the edge; the younger one insisted on taking up his position in a better-placed tree, so as to miss nothing, and Man sat on a branch overhanging the water. The Woman soon arrived and began behaving as before. When Woman reached the spot directly beneath the young Man, Woman noticed the reflection of his shadow in the water. Woman tried to catch hold of it, and when Woman failed, kept on trying: ""Woman put her hand in quickly, first to this side and then that, but of course Woman did not succeed, and what with all her queer gesticulations and funny capers made so ridiculous an appearance that the Man up above could not resist laughing at her vain attempts to seize the substance for the shadow. Man laughed and laughed and could not stop laughing."" Thereupon the Woman looked up and spied the two Mans. Furious at having been laughed at, Woman launched an attack with poisonous ants; they bit and stung the boy so badly that, to escape from them, Man had to throw himself into the water, where the Woman caught him and ate him. Afterward Woman captured the other Man and put him in her well-secured basket. On returning to her hut, Woman put the basket down and forbade her two daughters to touch it. But as soon as her back was turned, her daughters lost no time in opening it. They were delighted with the hero's physical appearance and his talents as a hunter. Both of them, indeed, fell in love with him, and the younger one hid him in her hammock. When the time came for the ogress to kill and eat her prisoner, the daughters confessed their misdeeds. Their mother agreed to spare her unexpected son-in-law, on condition that Man go fishing on her behalf. But however big the catch Man brought back, the ogress would devour it all, apart from two fish. Eventually the hero was so worn out that Man fell ill. The younger daughter, who was by now his wife, agreed to run away with him. One day Man told his mother-in-law that Man had left his catch in his canoe, and that Woman should go and fetch it (a fisherman was not supposed to carry the fish himself, since this would spoil his luck). However, Man had arranged for a shark, or an alligator, to be under the canoe, and the ogress was devoured. The elder daughter discovered the murder, sharpened her knife, and pursued the culprit. When Woman was about to catch up with him, Man ordered his wife to climb a tree, and followed after her. But Man was not quick enough to prevent his sister-in-law cutting off one of his legs. The detached member sprang to life and became the mother of birds. You can still see, in the night sky, the hero's wife (the Pleiades); lower down, the hero himself (the Hyades) and, lower still, his severed leg—Orion's belt.",8,Stars
Bororo - Stars.txt,"The Women had gone to gather maize, but Women did not succeed in finding very much, so Women took a little Boy with them who found a great many corncobs. Women pounded the maize there and then to make different sorts of cakes for the men when Men returned from hunting. The little Boy stole enormous quantities of the corn which he hid in bamboo tubes and brought to Grandmother, with the request that she would make a comcake for himself and his friends. The Grandmother did as she was asked, and the children had a feast, after which, to keep the theft secret, they cut out the tongues of the Grandmother and of a tame macaw and set free all the macaws that were being raised in the village. Fearing their parents' anger, Children fled into the sky by climbing up a knotty creeper that the hummingbird had agreed to fasten in position. Meanwhile the Women came back to the village and looked for the children. Women questioned the tongueless Grandmother and macaw to no purpose. One of Women caught sight of the creeper with the Children climbing up it. When pressed to come down, the Children turned a deaf ear and even climbed still faster. The distraught mothers went up after them, but the little Boy (thief), who was the last child, cut the creeper as soon as he reached the sky; the Women fell and crashed onto the ground, where Women were changed into animals and wild beasts. As a punishment for their heartlessness, the Children, now transformed into stars, look down every night on the sad plight of their mothers. It is the Children's eyes that can be seen shining.",8,Stars
Mataco - Woman.txt,"Once upon a time, Men were animals who could speak. Men had no Women, and Men lived on fish which Men caught in great quantities. One day Men noticed that their supplies of food had been stolen, so Men left a parrot on guard. The bird, from its perch at the top of a tree, saw Women coming down from the sky by the means of a rope. Women ate as much as they could and went to sleep in the shade of the tree. Instead of giving the alarm as he had been instructed to do, the parrot began to throw pieces of wood at the Women, who woke up and discovered him. Women bombarded Parrot with seeds, one of which hit the bird's tongue, which has been black ever since. The iguana heard the sound of the fight and informed his companions; but believing him to be deaf, they refused to pay any attention. The parrot meanwhile had been struck dumb. The next day the lizard mounted guard, but the Women captured him and tore out his tongue, so that he, too, was struck dumb. The Men, after a discussion, entrusted the village to the care of the hawk, which could not be seen by the Women because the color of its plumage was indistinguishable from that of the trunk of the tree in which it was perched. The hawk gave the alarm; although the Women threw things at him, he nevertheless managed to cut the rope. Henceforth the Men were provided with Women.",9,Woman
Toba-Pilaga - Woman.txt,"Formerly Men used to hunt and store their supply of game on the thatched roofs of their huts. One day, in Men's absence, a group of Women came down from the sky and stole all the meat. The same thing happened the next day, and the Men, who did not know that Women existed, set Rabbit to watch. But Rabbit slept all the time, and the grilled meat was stolen. The next day Parrot stood guard, hidden in a quebracho tree, and he saw the Women, who had toothed vaginas. After remaining quiet and motionless at first, Parrot threw a fruit down from the tree onto the Women who were feasting below. The Women began by accusing each other; then they discovered Parrot and began to fight about whose husband he should be. Women threw things at each other, and one of the sticks went astray and broke the bone under the parrot's tongue. Being now struck dumb and compelled to express himself through gestures, Parrot could not make the Men understand what had happened. It was now Hawk's turn to mount guard, and Hawk took care to arm himself with two throwing sticks. The first missed its target and enabled the Women to discover him; but although Women fought with each other about who should have him as husband and then tried in vain to kill him by throwing things at him, with his second stick Hawk succeeded in cutting one of the two ropes used by the Women to travel up and down from the sky (one rope was for pretty Women with fair complexions, the other for old, ugly ones). Several Women fell down and sank into the earth, but not before Hawk had captured two Women for his own use. Hawk then called to his Men. Only Iguana could hear him, but since Iguana had very small ears, the other Men refused to admit that his hearing could be keener than theirs. Eventually Hawk managed to make himself audible to Men. . . . Armadillo extracted the Women from the earth and distributed them among Men.",9,Woman
Chamacoco - Woman.txt,"Once when a young Chamacoco Son was ill and lying in his hammock, Son caught a glimpse of his Mother's vagina as she climbed over the roof of the hut to repair it. Inflamed with desire, Son waited until Mother came down again, and then made love to her. Then Son was indiscreet enough to reveal to her the secret of the masks, which women are not supposed to know about, and Mother told it to the other Women. When the Men realized what had happened, they killed all the Women but one, who changed into a deer and managed to escape. But though Men performed all the Women's work, Men were sad and depressed because they lacked Women. One day a Man walked under the tree in which the surviving woman happened to be. Woman spat to attract his attention. The Man tried to climb the tree but was hampered in the ascent by the fact that he had an erection; he gave up but not before he had spilled sperm all over the trunk. The other Men came on the scene and managed to reach the Woman from the neighboring trees. They raped her and then cut her into pieces which became soaked with sperm as they fell to the ground. Each Man picked up a piece and took it home. Then they all went fishing. Two shamans, who were sent ahead as scouts, both claimed that vultures had devoured the pieces of Woman flesh. The Indians then came back to the village which they found inhabited by Women and children. Each man found himself with a Wife corresponding to his piece of flesh. The pieces of thigh provided fat Women; the fingers, lean ones.",9,Woman
Sherente  - Woman.txt,"In the beginning there were no Women, and Men practiced homosexuality. One of them became pregnant but was unable to give birth, and died. Once several Men, reaching a spring, saw in it the reflection of a Woman who was sitting high up in the branches of a tree. For two days they tried to catch the reflection. At last one of them looked up and spied the Woman; they brought Woman down, but since each wanted to have Woman, they cut Woman into little pieces which were shared out. Each Man wrapped his piece in a leaf and put the bundle in the grass wall of his hut. Then all Men went hunting. On their way back they sent ahead a Messenger who discovered that the pieces had all changed into Women. The puma, who had been given a piece from the chest, found himself with a very pretty Woman; the semema, who had twisted his slice too tight, found himself with a very lean Woman. But each Man now had a Woman; and when Men went hunting, they took their Women along.",9,Woman
Toba-Pilaga - Animals.txt,The demiurge Nedamik subjected the first humans to an ordeal by tickling. Humans who laughed were changed into land or water animals: the Humans that didn't laugh were preyed upon by the jaguar; the Humans that didn't laugh were able to escape from Nedamik by taking refuge in the water. Those humans who maintained self-control became jaguars or men who hunted jaguars and got the better of Humans who laughed.,10,Animal
Toba-Pilaga - Laugh - Jaguar-Son-in-law.txt,"A Deer married the daughter of a Jaguar, without realizing who she was, because at that time all animals were in human form. One day he decided to pay a call on his parents-in-law. His Jaguar-wife warned Deer that Jaguars were vicious and would want to tickle Deer. If the Deer could not refrain from laughter, Deer would be devoured. The Deer withstood the ordeal successfully, but Der realized that his parents-in-law were Jaguars when they brought back a Deer they had killed while out hunting, and sat down to eat Deer. The next day the Deer announced that Deer would go hunting, and he brought back a dead Jaguar. It was now the Jaguars' turn to be frightened: From then on the Deer and the Jaguars kept a mutual watch on each other. ""How do you sleep?"" the Jaguar asked his son-in-law Deer. ""With my eyes open,"" was the reply, ""and when I am awake I keep my eyes closed. What about you?"" ""I do just the opposite."" Consequently the Jaguars dared not run away while the Deer was asleep, but as soon as Deer woke up, Jaguars thought Deer was asleep and took flight, while the Deer ran off in the opposite direction.",11,Laugh
Mundurucu - Laugh.txt,"A man married a howler Monkey-woman of human form. When Monkey-woman was pregnant, they decided to visit her parents. But the Woman warned her Man about Monkey's viciousness: on no account must Man laugh at Monkeys. The Monkeys invited the Man to a meal of cupiuba leaves {Goupia glabra), which have an intoxicating effect. When the father Monkey was completely drunk, Monkey began to sing, and his monkeylike expressions made the Man laugh. This enraged the Monkey who waited until Man was drunk and then abandoned him in a hammock at the top of a tree. When the Man woke up, Man found Man was alone and unable to climb down. The bees and the wasps came to Man's aid and advised Man to take revenge. The Man took his bow and arrows, pursued the Monkeys, and killed them all, apart from his pregnant Monkey-woman. Later the Monkey-woman had an incestuous relation with her son, from which sprang the howler monkeys.",11,Laugh
Kayapo-Gorotire - Laugh.txt,"A Man stayed behind to tend his garden while his companions went hunting. Feeling thirsty, Man went to a spring that Man knew of in the forest nearby, and as Man was about to drink, Man noticed a strange murmuring sound coming from above. Man looked up and saw an unknown creature hanging from a branch by its feet. It was a Kuben-niepre, a creature with a human body and the wings and feet of a Bat. The creature came down from the tree. It was ignorant of human language and began to caress the Man to show its friendliness toward him. But its enthusiastic tenderness was expressed by means of cold hands and pointed nails, the tickling effect of which caused the Man to break into an initial burst of laughter. After being led to the cave where the Bats lived and which looked like a lofty stone house, the Man noticed that there were no objects or utensils on the floor, which was covered with the droppings of the Bats hanging from the vaulted ceiling. The walls were adorned with paintings and drawings which filled their whole area. The Man was welcomed with renewed caresses. Man was tickled so much and Man laughed so hard that Man became quite exhausted, and eventually fainted. Much later Man recovered consciousness, succeeded in escaping, and found his way back to his village. The Indians were indignant when they heard of the treatment Man had suffered. They organized a punitive expedition and tried to choke all the Bats with smoke while they were asleep by burning a heap of dead leaves in the cave, after the entrance had been sealed off. But the Bats escaped through a hole in the roof—all except a young one which was caught. The villagers had great difficulty in rearing it. It learned to walk, but they had to make a perch for it to sleep on upside down. It was not long in dying. The Indian warrior despises laughter and tickling, which are barely suitable even for women and children.",11,Laugh
Tereno - Laugh.txt,"After bringing Men forth from the bowels of the earth, the demiurge Orekajuvakai wished to make them speak. He ordered Men to stand in single file one behind the other, and sent for the little Wolf to make them laugh. The Wolf performed all sorts of monkey tricks; Wolf bit his tail, but all in vain. Whereupon Orekajuvakai sent for the little red Toad, whose comic gait amused everybody. After the Toad had passed in front of the row for the third time, all the Men began to speak and laugh heartily.",11,Laugh
Bororo - Laugh - Jaguars Wife.txt,"In exchange for being allowed to escape with his life, an Indian had to agree to give his Daughter to the Jaguar. When Daughter became pregnant and was almost ready to give birth, the Jaguar warned her on no account to laugh, and then left to go hunting. Shortly afterward the Daughter heard the unpleasant, ridiculous voice of a fat Grub (the jaguar's mother, in some versions), which was trying to provoke Daughter into merriment. The Daughter managed not to laugh, but in spite of herself she smiled. Daughter was immediately seized with terrible pains and died. The Jaguar returned in time to carry out a Caesarian operation with his claws. Jaguar thus brought forth Twins, who later became the culture heroes, Bakororo and Itubore.",11,Laugh
Munducuru - Laugh.txt,"A Woman had a snake as her lover. Pretending to be going to gather the fruit of the sorveira tree, Woman went into the forest every day to see the Snake, who lived in one of these trees. Woman and Snake would make love until the evening, and when the time came to part, the Snake would shake down enough fruit to fill the Woman's basket. Becoming suspicious, Woman's Brother kept watch on the pregnant Woman. Although Brother could not see Woman's lover-Snake, Brother could hear Woman exclaiming in Snake's embrace: ""Don't make me laugh so much, Tupasherebo ! You are making me laugh so hard, I am urinating!"" In the end the Brother saw the snake and killed it. . . . Later the Son that the Woman bore the Snake avenged his Father.",11,Laugh
Toba-Pilaga - Snake Woman.txt,"There was a girl who had a continual flow of menstrual blood. ""Does your period never finish?"" she was asked. The girl would answer, ""Only when my husband is here."" But nobody knew who her husband was. Moreover the Girl laughed incessantly. It was eventually discovered that Girl spent all her time sitting in her hut just above a hole occupied by her husband, the python. A trap was laid for the latter, and he was killed. And when the Girl gave birth to six little snakes, all spotted, they too were killed. The Girl changed into an iguana.",20,Snake
Tucuna - Jaguar's Son-in-law.txt,"A Hunter lost his way and found himself at the Jaguar's house. The Jaguar's Daughters invited him in after explaining that the Monkey he had been pursuing was their pet. When the Jaguar came home and smelled human flesh, Jaguar's-wife hid the Hunter in the loft. The Jaguar had brought back a caititu for dinner. After the terror-stricken Hunter had been introduced to Jaguar and licked from head to foot, the Jaguar took off his skin, assumed human form, and chatted familiarly with the Hunter while they waited for dinner. Meanwhile the Jaguar's-wife secretly warned the Hunter that the meat would be highly seasoned, and that when he came to eat it, he should show no sign of being put out by this. Although the food was very peppery, the Hunter succeeded in hiding his discomfort, although not without difficulty. The Jaguar was delighted, congratulated Hunter, and set Hunter on the road leading back to his village. But the Hunter went astray, returned to the Jaguar's house, and the Jaguar showed Hunter another road; he again got lost and came back. The Jaguar's Daughters suggested marriage; the Hunter accepted, and the Jaguar gave his consent. One day, a long time afterward, he went back to visit his family. Hunter's Mother noticed that he had become wild and that Hunter's body was beginning to be covered with spots like the Jaguar's hide. Hunter's Mother painted Hunter all over with powdered charcoal. Hunter ran off into the forest where his human Wives looked for Hunter in vain. Hunter was never seen again.",6,Jaguar
Tucuna - Fire.txt,"Once upon a time Men had neither sweet manioc nor fire. An old Woman was given the secret of the fire by the Ants; and her friend, the Nocturnal Swallow, would obtain fire for Woman (keeping it hidden in his beak), so that Woman could cook the manioc, instead of heating it by exposure to the sun or by putting it under Woman armpits. The Indians found the old Woman's manoic cakes excellent and asked how Woman prepared them. Woman replied that Woman simply baked them in the heat of the sun. The Swallow, amused by this falsehood, burst out laughing, and the Indians saw flames coming from Swallow's mouth. Indians forced it open and took possession of the fire. Since then nocturnal Swallows have had gaping beaks.",4,Fire
Bororo - Fire.txt,"Formerly the monkey was like a man; he had no hair on his body, sailed a canoe, ate maize, and slept in a hammock. One day when the monkey was sailing back with the prea from their plantation, he was alarmed to see the animal hungrily gnawing at the maize that was piled loose in the bottom of the canoe: ""Stop,"" he said, ""or you'll make a hole in the side, we'll spring a leak, we shall be drowned, and you won't escape because the piranha fish will eat you."" But the prea went on gnawing, and the monkey's forecast came true. As he was a very good swimmer, he managed to slip his hand inside the gills of a piranha fish, and he reached the bank alone, waving his catch. Shortly afterward he met the Jaguar who marveled at the sight of the fish and managed to get himself invited to dinner. ""But,"" he asked, ""where is the fire?"" The monkey pointed to the sun which was sinking toward the horizon and bathing the distant landscape in a ruddy glow. ""Yonder,"" he said. ""Can't you see it? Go and fetch it."" The Jaguar went a long way, then came back to say he had not been successful. ""But there it is,"" went on the monkey, ""all flaming red! Run after it, and this time catch up with the fire so that we can cook our fish!"" So off went the Jaguar again. Whereupon the Monkey invented the method of producing fire by rubbing two sticks together, which men were to copy from him later. He kindled a good fire, grilled his fish, and ate it all up, leaving only the bones. After which, he climbed up a tree—some people say it was a jatoba—and settled himself at the top. When the Jaguar came back exhausted, he realized that a trick had been played upon him, and he was indignant: ""I'll bite that cursed Monkey to death, but where is he?"" The Jaguar ate what was left of the fish and tried in vain to trace the Monkey's whereabouts. The Monkey whistled, once, twice. Eventually the Jaguar caught sight of him and asked him to come down, but the Monkey refused, being afraid that the Jaguar, in spite of his assurances to the contrary, would kill him. The Jaguar then stirred up a strong wind, which caused the tree top to sway; the Monkey clung to the tree as best he could, but soon his strength was exhausted, and he was hanging on by only one hand. ""I'm going to let go,"" he cried to the Jaguar. ""Open your mouth."" The Jaguar opened his mouth wide, and the Monkey dropped into it and disappeared into the Jaguar's belly. The Jaguar, growling and licking his chops, ran off into the forest. But he was soon in a bad way, because the Monkey jumped about so much inside him. He begged the Monkey to keep still, but to no purpose. In the end the Monkey took his knife, cut open the Jaguar's belly, and came out. He removed the dying Jaguar's skin and cut it into strips, with which he adorned his head. He fell in with another Jaguar, who had hostile intentions. He pointed out the nature of his headgear to this jaeuar, who realized he was dealing with a Jaguar-killer, and fled in terror.",4,Fire
Opaye - Fire.txt,"Formerly the Jaguar's mother was the mistress of fire. The animals plotted together to steal a firebrand from her. The armadillo was the first to try: he went to the old woman's hut, asked if he could warm himself because he was feeling cold, and was given permission to do so. He tickled the old woman under the arms to send her to sleep, and when he felt her muscles relax, he seized a burning brand and ran off. But the woman woke up and whistled a signal to her son, the Jaguar, who caught up with the armadillo and took back the firebrand. The agouti, then the tapir, the capuchin monkey, and the howler monkey —in short, all the animals—were equally unfortunate. It was left to that insignificant animal, the prea, to succeed where the others had failed. The prea adopted a different method. When he arrived at the Jaguar's hut, he did not mince his words: ""Good day, grandmother, how are you? I havecome to fetch fire."" Whereupon he seized a burning brand, hung it around his neck, and went off. Having been alerted by his mother's whistle, the Jaguar tried to intercept the prea, but the latter managed to avoid him. The Jaguar went in pursuit, but the prea had several days' lead. The Jaguar eventually caught up with him on the far bank of the Parana. ""Let us talk,"" said the prea to the Jaguar. ""Now that you have lost possession of the fire, you will have to find some other means of subsistence."" Meanwhile the firebrand (what follows suggests that it was more like a log) went on burning, ""thus becoming so much the lighter to carry."" The prea is a trickster. He was so even at that time, and tricked the Jaguar by telling him that there was no healthier food than raw, bloody flesh. ""All right,"" said the Jaguar. ""Let me try it,"" and he hit out with his paw at the prea's muzzle, shortening it to the length at which it has remained. Finally, having been persuaded by the prea that there were other kinds of prey (which means that the prea is responsible for the danger that the Jaguar represents for man), the Jaguar gave him a lesson in cooking: ""If you are in a hurry, light a fire, put the meat on a spit, and grill it; if you have time, cook it in an oven that has been hollowed out in the ground and previously heated; put foliage around the meat to protect it, and earth and hot ashes on top."" While he was giving these explanations, the firebrand finally burned out. The Jaguar then taught the prea how to make fire by rotating sticks, and the prea went all over the place, lighting fires everywhere. The fire spread even to his own village, where his father and the other inhabitants gave him a triumphal welcome.",4,Fire
Mbya - Fire.txt,"After the first earth had been destroyed by a flood, which had been sent as a punishment for an incestuous union, the Gods created another and placed on it their son, Nianderu Pa-pa Miri. He created new men and set about obtaining fire for them; at the time it was in the sole possession of vulture-sorcerers. Nianderu explained to his son, the toad, that he would simulate death, and that the toad must seize the burning embers as soon as Nianderu, having recovered consciousness, scattered them. The sorcerers approached the corpse, which they found suitably plump. Pretending that they wished to revive it, they lit a fire. The hero moved about and shammed death alternately, until the sorcerers had brought together enough embers; the hero and his son then took possession of the latter and put them inside the two pieces of wood that would henceforth be used by men to produce fire by a process of rotation. As a punishment for their attempted cannibalism, the sorcerers were doomed to remain carrion-eating vultures ""with no respect for the big thing"" (the corpse) and never to achieve the perfect life.",4,Fire
Tembe - Fire.txt,"In the old days the king Vulture was the master of Fire, and Men had to dry their meat in the Sun. One day Men decided to get possession of Fire. Men killed a Tapir; and when the body was full of worms, the king Vulture and his relatives came down from the Sky. Vultures took off their feather tunics and appeared in Human form. After lighting a big Fire, Vultures wrapped the worms in leaves and put them to roast. The Men had gone into hiding not far from the dead body, and after a first unsuccessful attempt, Men managed to obtain possession of Fire.",4,Fire
Shipaya - Fire.txt,"To get Fire from the Eagle who was master of it, the demiurge Kumaphari pretended to die and to decay. The urubus devoured his body, but the Eagle had put the Fire in a safe place. Kumaphari then pretended to die in the form of a roebuck, but the Eagle was not taken in. Finally Kumaphari took the form of two shrubs in which the Eagle decided to put his Fire. Kumaphari got possession of it, and the Eagle agreed to teach him the art of producing Fire by friction.",4,Fire
Guarayu - Fire.txt,"A Man who did not possess fire bathed in putrid water, then Man lay down on the ground as if he were dead. The black Vultures, the masters of fire, settled on him in order to cook and eat him, but the Man got up suddenly and scattered the embers. Man's ally, the Toad, who was waiting for the opportunity, swallowed some. Toad was caught by the birds and forced to cough it up again. The Man and the Toad then repeated their attempt, and this time they were successful. Since then Men have had fire.",4,Fire
Caraja - Immortality.txt,"At the beginning of time Men lived with their ancestor, Kaboi, in the bowels of the earth, where the sun shone when it was dark outside, and vice versa. From time to time the cry of a savannah Bird, the seriema, could be heard, and one day Kaboi decided to set off in the direction from which the sound came. Accompanied by a few Men, Kaboi came to a hole that Kaboi was unable to climb through because Kaboi was very fat; and Kaboi's companions emerged without Kaboi onto the earth's surface, which they started to explore. There were great quantities of fruit, bees, and honey, and they noticed also dead trees and dry wood. Men brought back to Kaboi samples of all they had found. Kaboi examined them and concluded that the earth was a beautiful and fertile place, but that the presence of dead wood proved that everything was doomed to perish. Men would do better to stay where Men were. For in Kaboi's kingdom, Men lived until age made them incapable of moving. A number of Kaboi's ""children"" refused to listen to him, and came to take up their abode on the earth's surface. For this reason, Men die much sooner than those of their fellows who chose to remain in the underworld.",12,Immortality
Kraho - Immortality.txt,"One day the Indians captured a Child belonging to the Kokridho, aquatic spirits (water bugs) who are impersonated in ceremonies by masked dancers. The following night the Kokridho came out of the water and invaded the Village in order to recover their Child. But Kokridho emitted such a stench that Everybody died from it.",12,Immortality
Shipaya - Immortality.txt,"The Demiurge wished to make Men immortal. Demiurge told Men to take up their position at the water's edge and to allow two canoes to go by; Men should, however, stop the third in order to greet and embrace the Spirit in it. The First Canoe contained a basket full of rotten meat, which was extremely foul smelling. The Men ran toward First Canoe but were repelled by the Stench. They thought that this canoe was carrying death, whereas Death was in the Second Canoe and had taken human form. As a result, the Men greeted Death warmly, with embraces. When the Demiurge arrived in the Third Canoe, he had to accept the fact that the Men had chosen Death — unlike the Snakes, the Trees, and the Stones, who had all awaited the arrival of the Spirit of Immortality. Had the Men done likewise, Men would have sloughed off their skins when they grew old, and would have become young again like Snakes.",12,Immortality
Tenetehara - Immortality.txt,"The first Man, created by the Demiurge, lived in innocence, although his penis was always in a state of erection. He tried in vain to induce detumescence by sprinkling it with a manioc beverage. The first Woman, having been instructed by the water Spirit (who had subsequently been castrated and killed by her husband), taught the Man how to soften his penis through copulation. When the Demiurge saw the limp penis, he became angry and said: ""Henceforth Man's penis will be soft, Man will make Children, and then you will die: later when your Child grows, he will make another Child, and in turn he will die.""",12,Immortality
Caduveo - Immortality.txt,"A famous Shaman paid a visit to the Creator, in order to discover a means of rejuvenating old Men and making dead trees put forth new buds. Shaman approached several inhabitants of the Beyond, thinking them to be the Creator, but inhabitants of the Beyond explained that they were only Creator's hair, Creator's nail parings, or Creator's urine. . . . Finally Shaman arrived at his destination and presented his request. His guardian Spirit had informed Shaman that he must not, on any pretext, smoke the Creator's pipe, or accept the cigar the Creator would offer—on the contrary, Shaman should snatch it roughly from Creator—or, lastly, look at Creator's Daughter. After surviving these three ordeals the Shaman was given a Comb that would bring the Dead back to life, and Resin (sap) that would make Wood put forth green shoots again. Shaman had already started on his way back, when the Creator's Daughter ran after Shaman to give him a piece of Tobacco he had forgotten. Creator's Daughter shouted loudly at him to stop. Involuntarily the Shaman looked back and saw one of the young Woman's toes: that one brief glance was enough to make the Woman pregnant. So the Creator arranged for Shaman to die on Shaman's return, and summoned Shaman back to the Beyond to look after his Woman and Son. From that time on Men were no longer able to escape death.",12,Immortality
Tucuna - Immortality.txt,"This first race of Men knew nothing of death. It so happened that a young Girl, who was being kept in seclusion for her puberty festival, failed to reply to the call of the Immortals (the gods) inviting the Men to follow them. Girl then committed the additional error of replying to the call of the Spirit of old age. The Spirit of old age burst into Girl's cell and exchanged Spirit's skin for Girl's. The Spirit at once was transformed into a youth again, and his victim became a decrepit old Woman. . . . Since then Humans grow old and die.",12,Immortality
Tenetehara - Immortality - 2.txt,"A young Indian Woman met a Snake in the forest. The Snake became Woman's lover, and Woman bore him a Son who was already a youth at birth. Every day the Son went into the forest to make arrows for Woman, and every evening Son returned to Woman's womb. The Woman's Brother discovered her secret and persuaded her to hide as soon as the Son went off. When the Son returned that evening to enter the mother's womb, the Woman had disappeared. The Snake Son consulted his Snake Grandfather, who advised him to hunt for his Snake Father. But the Son had no desire to do so, so that evening he transformed himself into a ray of lightning and climbed into the sky, taking his bow and arrow with him. When Son got there, he broke his weapons in pieces, which became the stars. Everybody was asleep, and no one except the spider saw this take place. For this reason spiders (unlike men) do not die when they grow old, but change their shells. Formerly Men and Animals also changed skin when they were old, but from this day until now they die when they are old.",12,Immortality
Tucuna - Immortality - 2.txt,"A virgin, who was being secluded in her puberty cell, heard the call of the immortals. She at once replied and asked to be granted immortality. Among the guests (at a celebration that was taking place at that time) was a young girl engaged to Tortoise: but she disliked him, because he would eat only tree fungi, and she pursued Falcon with her attentions. All through the feast she stayed outside the hut with her lover, except for one brief moment, when she went inside to drink manioc beer. Tortoise noticed her hurried exit and uttered a curse: suddenly the tapir hide, on which the virgin and the guests were seated, rose into the air without Tortoise's having time to take his place on it. The two lovers saw that the hide and its occupants was already high in the sky. The young girl's brothers threw down a thin liana, so that she could pull herself up to join them. But she must on no account open her eyes! She disobeyed and called out: ""The liana is going to break!"" The liana did in fact snap. As she fell, the young girl turned into a bird. Tortoise broke the jars full of beer. The beer, which was full of worms, spilled onto the ground and was licked up by ants and other creatures that shed their skin: and that explains why they never grow old. Tortoise changed into a bird and joined his companions in the upper world. The tapir hide and its occupants can still be seen there in the form of the moon's halo—according to another version, the Pleiades.",12,Immortality
Tucuna - Immortality - 3.txt,"A puberty festival was drawing to a close, but the young Girl's Uncle was so drunk that Uncle could no longer perform the ceremony properly. An Immortal God appeared in the form of a Tapir, carried off the young Girl, and married Girl. Much later Girl reappeared to Girl's Mother with her baby and asked Girl's Mother to prepare an especially strong beer for her younger Brother's hair-plucking ceremony. Girl attended the ceremony with her Immortal. The Immortal brought with him a little of the drink of the Immortals and Immortal offered a sip to each Human. When Humans were all drunk, they went off with the young couple to take up abode in the dwelling of the Gods.",12,Immortality
Caraja - Immortality - 2.txt,"After the Fire he refused to give to Men had been stolen from him by a Toad, the Demiurge married a young Indian. Yielding to his father-in-law's entreaties, Demiurge agreed to ask the king-Vulture for the celestial lights—the stars, the sun, and the moon, which were essential for lighting the Earth. The Demiurge then asked the Vulture to teach Men the arts of civilization, using himself, the Demiurge, as an intermediary. After which the Vulture, whom the Demiurge had lured down by feigning Death, flew off. At that moment the Demiurge's mother-in-law was prompted to ask the Vulture how old Men could be rejuvenated. The reply came from very high up and very far away. The trees and certain animals could hear it, but not Men.",12,Immortality
Apinaye - Cultivation.txt,"A young widower, who was sleeping out in the open air, fell in love with a star. The star appeared to him first of all in the form of a frog, then in the form of a beautiful young woman, whom he married. At that time men knew nothing of gardening, and they ate rotten wood with their meat instead of vegetables. Star-woman brought her husband sweet potatoes and yams and taught him to eat them. The man carefully hid his tiny wife in a gourd, where she was discovered by his younger brother. From then on he lived openly with her. One day, while Star-woman was bathing with her mother-in-law, she changed into an opossum and jumped on the old woman's shoulder until she drew the latter's attention to a large tree laden with cobs of maize. She explained that ""the Indians were to eat this maize instead of rotten wood."" As an opossum, she climbed up and threw down quantities of cobs. Then she reassumed human shape and showed her mother-in-law how to make maize cakes. Delighted with this new food, men decided to chop down the maize tree with a stone axe. But when they stopped for breath, the notch they had cut closed up again. They sent two boys to the village for a better axe. On the way the two discovered a steppe opossum, which they killed and immediately roasted and consumed, though this animal is taboo to boys. Hardly had they finished their meal when they turned into senile, stooping old men. An old magician-doctor succeeded in restoring their youth. When the men had finally felled the tree with great difficulty, Star-woman advised them to make a clearing and plant maize. Star-woman, however, later returned to the sky after her husband's death.",13,Cultivation
